id,plan_id,question,topic,plan_type,comment
a9942b44-b593-4bcf-852e-736e880bcaf1-icebreaker-0,a9942b44-b593-4bcf-852e-736e880bcaf1,Tell me about your current role at Google.,icebreaker,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_check_motivation-0,a9942b44-b593-4bcf-852e-736e880bcaf1,What interests you about the Senior Machine Learning Engineer position?,questions_to_check_motivation,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_check_fit-0,a9942b44-b593-4bcf-852e-736e880bcaf1,Can you explain your experience with Python?,questions_to_check_fit,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_check_fit-1,a9942b44-b593-4bcf-852e-736e880bcaf1,Have you worked with scalable distributed systems before?,questions_to_check_fit,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_check_fit-2,a9942b44-b593-4bcf-852e-736e880bcaf1,Have you used message broker systems like Kafka or RabbitMQ?,questions_to_check_fit,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_check_fit-3,a9942b44-b593-4bcf-852e-736e880bcaf1,Have you had experience with application instrumentation and monitoring practices?,questions_to_check_fit,screening,
a9942b44-b593-4bcf-852e-736e880bcaf1-questions_to_clarify-0,a9942b44-b593-4bcf-852e-736e880bcaf1,Do you have experience with Kotlin?,questions_to_clarify,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-icebreaker-0,1d28f82e-d63f-4ce5-9642-eded949d2c51,Tell me about your experience as a Machine Learning Engineer.,icebreaker,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_motivation-0,1d28f82e-d63f-4ce5-9642-eded949d2c51,What interests you most about this Senior Machine Learning Engineer position?,questions_to_check_motivation,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-0,1d28f82e-d63f-4ce5-9642-eded949d2c51,Can you tell me about your experience in developing scalable distributed systems and message broker systems?,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-1,1d28f82e-d63f-4ce5-9642-eded949d2c51,Have you worked with Python and Kotlin in your previous roles?,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-2,1d28f82e-d63f-4ce5-9642-eded949d2c51,Can you describe your experience in turning machine learning research concepts into scalable production-grade components?,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-3,1d28f82e-d63f-4ce5-9642-eded949d2c51,How have you encouraged engineering good practices in your previous projects?,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-4,1d28f82e-d63f-4ce5-9642-eded949d2c51,Tell me about your experience in designing and implementing pipelines.,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_check_fit-5,1d28f82e-d63f-4ce5-9642-eded949d2c51,Have you collaborated with various engineering teams in your previous roles?,questions_to_check_fit,screening,
1d28f82e-d63f-4ce5-9642-eded949d2c51-questions_to_clarify-0,1d28f82e-d63f-4ce5-9642-eded949d2c51,Can you provide more details about your experience with application instrumentation and monitoring practices?,questions_to_clarify,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-icebreaker-0,29f87cae-2102-4aca-914c-7d86d5fd36cc,Tell me about your experience working in a similar role.,icebreaker,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_motivation-0,29f87cae-2102-4aca-914c-7d86d5fd36cc,What interests you about this position?,questions_to_check_motivation,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_motivation-1,29f87cae-2102-4aca-914c-7d86d5fd36cc,What motivated you to apply for this role?,questions_to_check_motivation,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_fit-0,29f87cae-2102-4aca-914c-7d86d5fd36cc,Can you describe your experience with [specific skill mentioned in job description]?,questions_to_check_fit,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_fit-1,29f87cae-2102-4aca-914c-7d86d5fd36cc,"Have you worked with [specific software/tool mentioned in job description]? If so, can you provide an example of how you used it?",questions_to_check_fit,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_fit-2,29f87cae-2102-4aca-914c-7d86d5fd36cc,Tell me about a time when you had to deal with a difficult team member or situation. How did you handle it?,questions_to_check_fit,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_fit-3,29f87cae-2102-4aca-914c-7d86d5fd36cc,Have you ever had to prioritize multiple tasks and how did you go about it?,questions_to_check_fit,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_check_fit-4,29f87cae-2102-4aca-914c-7d86d5fd36cc,Can you provide an example of a project that you successfully completed from start to finish?,questions_to_check_fit,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_clarify-0,29f87cae-2102-4aca-914c-7d86d5fd36cc,Can you explain why there is a gap in your employment history between [specific time period mentioned in CV]?,questions_to_clarify,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_clarify-1,29f87cae-2102-4aca-914c-7d86d5fd36cc,Your CV mentions experience in [specific industry/role]. How do you think that experience applies to this position?,questions_to_clarify,screening,
29f87cae-2102-4aca-914c-7d86d5fd36cc-questions_to_clarify-2,29f87cae-2102-4aca-914c-7d86d5fd36cc,Your CV doesn't mention [specific skill/competency mentioned in job description]. Have you had any experience with that?,questions_to_clarify,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-technical_questions-0,3164efca-16a9-4440-9174-c595d99a9cc0,Can you explain the difference between bag-of-words and word2vec?,technical_questions,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-technical_questions-1,3164efca-16a9-4440-9174-c595d99a9cc0,How would you handle class imbalance in a text classification task?,technical_questions,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-technical_questions-2,3164efca-16a9-4440-9174-c595d99a9cc0,What preprocessing techniques would you use for text data?,technical_questions,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-technical_questions-3,3164efca-16a9-4440-9174-c595d99a9cc0,Can you explain the concept of lemmatization?,technical_questions,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-technical_questions-4,3164efca-16a9-4440-9174-c595d99a9cc0,How would you deal with out-of-vocabulary words in a language model?,technical_questions,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-questions_about_tasks-0,3164efca-16a9-4440-9174-c595d99a9cc0,Can you describe a project where you used natural language processing techniques?,questions_about_tasks,screening,
3164efca-16a9-4440-9174-c595d99a9cc0-questions_about_tasks-1,3164efca-16a9-4440-9174-c595d99a9cc0,"Have you worked on any text summarization tasks? If yes, can you explain how you approached it?",questions_about_tasks,screening,
